seed,question,variant,kind,noise,sources,cleared,seconds_per_source,virtual_s,runtime_s,actions,move_s,measure_s,switch_s,optical_s,laser_s,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits
20260910,3,B1,random,spatial,11,11,844.9669893618462,9294.636882980309,0.024346899997908622,352,7255.636882980308,1635.0,307.0,75.0,22.0,11,25,full_coverage,,
20260910,3,route,random,spatial,11,11,820.8577083748337,9029.434792123171,0.023408800007018726,314,7224.43479212317,1435.0,267.0,81.0,22.0,11,25,full_coverage,0,0
20260910,3,shared,random,spatial,11,11,818.4710265925096,9003.181292517605,0.026031900000816677,317,7178.181292517605,1460.0,268.0,75.0,22.0,11,25,full_coverage,9,8
20260911,3,B1,random,spatial,10,10,913.1879172069761,9131.87917206976,0.02120400000421796,367,7006.87917206976,1705.0,322.0,78.0,20.0,10,25,full_coverage,,
20260911,3,route,random,spatial,10,10,893.9440849883064,8939.440849883063,0.023197099995741155,370,6805.4408498830635,1705.0,322.0,87.0,20.0,10,25,full_coverage,0,0
20260911,3,shared,random,spatial,10,10,889.2330200009585,8892.330200009585,0.02564890000212472,372,6748.330200009584,1715.0,322.0,87.0,20.0,10,25,full_coverage,5,4
20260912,3,B1,random,spatial,16,16,404.5860449818955,6473.376719710328,0.027742799997213297,189,5439.376719710328,740.0,139.0,123.0,32.0,16,13,count_upper_bound,,
20260912,3,route,random,spatial,16,16,313.9094273025327,5022.5508368405235,0.0321232999995118,180,4029.550836840522,710.0,137.0,114.0,32.0,16,10,count_upper_bound,0,0
20260912,3,shared,random,spatial,16,16,296.60865654388203,4745.738504702113,0.03462089999811724,173,3763.7385047021126,735.0,137.0,78.0,32.0,16,11,count_upper_bound,15,15
20260913,3,B1,random,spatial,10,10,903.1440773300689,9031.440773300688,0.019714699999894947,326,7170.4407733006865,1470.0,275.0,96.0,20.0,10,25,full_coverage,,
20260913,3,route,random,spatial,10,10,897.1189453249157,8971.189453249157,0.022548400003870483,350,6974.189453249156,1575.0,297.0,105.0,20.0,10,25,full_coverage,0,0
20260913,3,shared,random,spatial,10,10,888.6931679374513,8886.931679374513,0.026058700001158286,353,6871.931679374514,1590.0,300.0,105.0,20.0,10,25,full_coverage,6,5
20260914,3,B1,random,spatial,14,14,655.1732654484573,9172.425716278402,0.02202209999813931,263,7659.4257162784,1190.0,220.0,75.0,28.0,14,25,full_coverage,,
20260914,3,route,random,spatial,14,14,704.9987022792682,9869.981831909754,0.02526880000368692,281,8275.981831909754,1235.0,229.0,102.0,28.0,14,25,full_coverage,0,0
20260914,3,shared,random,spatial,14,14,687.6286452135838,9626.801032990174,0.0229920999991009,281,8022.801032990174,1255.0,231.0,90.0,28.0,14,25,full_coverage,9,9
20260915,3,B1,random,spatial,13,13,821.7122662777955,10682.259461611342,0.026864999999816064,270,9194.259461611342,1120.0,204.0,138.0,26.0,13,25,full_coverage,,
20260915,3,route,random,spatial,13,13,743.7683530862645,9668.988590121438,0.03466179999668384,279,8153.988590121438,1120.0,204.0,165.0,26.0,13,25,full_coverage,0,0
20260915,3,shared,random,spatial,13,13,706.3863210172124,9183.02217322376,0.04701759999443311,281,7620.022173223761,1190.0,218.0,129.0,26.0,13,25,full_coverage,22,13
20260916,3,B1,random,spatial,14,14,667.0243329377644,9338.340661128701,0.023723699996480718,279,7780.3406611287,1185.0,219.0,126.0,28.0,14,25,full_coverage,,
20260916,3,route,random,spatial,14,14,651.5936853745847,9122.311595244186,0.025846199998341035,249,7695.311595244183,1120.0,204.0,75.0,28.0,14,25,full_coverage,0,0
20260916,3,shared,random,spatial,14,14,637.8472225088683,8929.861115124157,0.046164999999746215,277,7404.861115124156,1145.0,208.0,144.0,28.0,14,25,full_coverage,13,12
20260917,3,B1,random,spatial,13,13,762.038398566273,9906.499181361549,0.03367920000164304,299,8283.499181361549,1200.0,220.0,177.0,26.0,13,25,full_coverage,,
20260917,3,route,random,spatial,13,13,708.629059058688,9212.177767762943,0.03525810000428464,295,7589.177767762944,1220.0,224.0,153.0,26.0,13,25,full_coverage,0,0
20260917,3,shared,random,spatial,13,13,719.2127027100069,9349.765135230089,0.03759800000261748,304,7691.76513523009,1235.0,226.0,171.0,26.0,13,25,full_coverage,13,11
20260918,3,B1,random,spatial,15,15,588.195593329145,8822.933899937176,0.016516499999852385,206,7651.933899937176,905.0,161.0,75.0,30.0,15,25,full_coverage,,
20260918,3,route,random,spatial,15,15,562.7617721157789,8441.426581736683,0.024138100001437124,212,7276.426581736683,865.0,153.0,117.0,30.0,15,25,full_coverage,0,0
20260918,3,shared,random,spatial,15,15,522.5543661227864,7838.315491841796,0.035081199996056966,232,6546.315491841797,980.0,174.0,108.0,30.0,15,25,full_coverage,22,16
20260919,3,B1,random,spatial,11,11,814.0213340715123,8954.234674786636,0.023995700001250952,309,7197.234674786636,1380.0,256.0,99.0,22.0,11,25,full_coverage,,
20260919,3,route,random,spatial,11,11,772.1483258169284,8493.631583986213,0.02653739999368554,308,6748.6315839862145,1365.0,253.0,105.0,22.0,11,25,full_coverage,0,0
20260919,3,shared,random,spatial,11,11,758.4604214585958,8343.064636044553,0.025526100005663466,306,6589.064636044555,1395.0,256.0,81.0,22.0,11,25,full_coverage,11,9
20260920,3,B1,random,spatial,13,13,732.517780330597,9522.73114429776,0.020131400000536814,278,7938.731144297762,1240.0,228.0,90.0,26.0,13,25,full_coverage,,
20260920,3,route,random,spatial,13,13,656.8974701677093,8539.667112180221,0.027621799999906216,259,7099.667112180222,1095.0,199.0,120.0,26.0,13,25,full_coverage,0,0
20260920,3,shared,random,spatial,13,13,701.8387936990382,9123.904318087496,0.03335099999821978,274,7577.904318087497,1205.0,216.0,99.0,26.0,13,25,full_coverage,17,14
20260921,3,B1,random,spatial,10,10,946.8467269230275,9468.467269230276,0.02626060000329744,323,7615.4672692302765,1475.0,274.0,84.0,20.0,10,25,full_coverage,,
20260921,3,route,random,spatial,10,10,934.7947713817093,9347.947713817093,0.030142600000544917,336,7455.947713817092,1475.0,274.0,123.0,20.0,10,25,full_coverage,0,0
20260921,3,shared,random,spatial,10,10,879.6781245742302,8796.781245742302,0.026108499994734302,332,6891.781245742303,1520.0,281.0,84.0,20.0,10,25,full_coverage,14,10
20260922,3,B1,random,spatial,14,14,681.2981352710201,9538.173893794281,0.03388099999574479,302,7861.173893794281,1270.0,235.0,144.0,28.0,14,25,full_coverage,,
20260922,3,route,random,spatial,14,14,641.5263281353442,8981.368593894818,0.033387000003131106,245,7620.36859389482,1030.0,186.0,117.0,28.0,14,25,full_coverage,0,0
20260922,3,shared,random,spatial,14,14,629.0352944569628,8806.494122397478,0.04242609999346314,265,7345.494122397478,1100.0,198.0,135.0,28.0,14,25,full_coverage,13,13
20260923,3,B1,random,spatial,10,10,907.9610923122106,9079.610923122105,0.02016410000214819,338,7135.6109231221035,1550.0,290.0,84.0,20.0,10,25,full_coverage,,
20260923,3,route,random,spatial,10,10,871.1030646519526,8711.030646519526,0.018182800005888566,327,6821.030646519526,1515.0,283.0,72.0,20.0,10,25,full_coverage,0,0
20260923,3,shared,random,spatial,10,10,866.0691410262086,8660.691410262087,0.02003580000018701,331,6752.691410262087,1525.0,285.0,78.0,20.0,10,25,full_coverage,7,7
20260924,3,B1,random,spatial,12,12,794.4755074130304,9533.706088956365,0.025660399995103944,289,7915.706088956365,1245.0,229.0,120.0,24.0,12,25,full_coverage,,
20260924,3,route,random,spatial,12,12,783.1287692105913,9397.545230527096,0.029924800001026597,288,7779.545230527094,1250.0,230.0,114.0,24.0,12,25,full_coverage,0,0
20260924,3,shared,random,spatial,12,12,752.9545927336289,9035.455112803547,0.03761500000109663,302,7316.455112803548,1350.0,249.0,96.0,24.0,12,25,full_coverage,16,9
20260925,3,B1,random,spatial,15,15,677.2232043007326,10158.348064510988,0.030945600003178697,254,8766.348064510988,1035.0,186.0,141.0,30.0,15,25,full_coverage,,
20260925,3,route,random,spatial,15,15,622.8523623257638,9342.785434886457,0.03611679999448825,226,8118.785434886457,895.0,158.0,141.0,30.0,15,25,full_coverage,0,0
20260925,3,shared,random,spatial,15,15,592.7472393298599,8891.208589947899,0.04012880000664154,236,7606.208589947899,950.0,167.0,138.0,30.0,15,25,full_coverage,19,13
20260926,3,B1,random,spatial,15,15,656.5724694800613,9848.58704220092,0.03369129999919096,246,8493.587042200917,1010.0,183.0,132.0,30.0,15,25,full_coverage,,
20260926,3,route,random,spatial,15,15,601.4345692231218,9021.518538346827,0.0397815999967861,223,7801.518538346825,900.0,161.0,129.0,30.0,15,25,full_coverage,0,0
20260926,3,shared,random,spatial,15,15,614.5082071806854,9217.623107710282,0.04667189999599941,269,7728.623107710279,1120.0,204.0,135.0,30.0,15,25,full_coverage,16,13
20260927,3,B1,random,spatial,13,13,708.548603527845,9211.131845861984,0.022143800000776537,251,7783.131845861984,1115.0,203.0,84.0,26.0,13,25,full_coverage,,
20260927,3,route,random,spatial,13,13,665.3159860948685,8649.107819233292,0.025521299998217728,255,7209.107819233292,1115.0,203.0,96.0,26.0,13,25,full_coverage,0,0
20260927,3,shared,random,spatial,13,13,688.9232618137389,8956.002403578606,0.0346306999999797,299,7288.002403578603,1275.0,235.0,132.0,26.0,13,25,full_coverage,12,11
20260928,3,B1,random,spatial,11,11,812.6871017852013,8939.558119637215,0.021123599995917175,305,7209.558119637213,1355.0,251.0,102.0,22.0,11,25,full_coverage,,
20260928,3,route,random,spatial,11,11,830.2484796253976,9132.733275879375,0.02542820000235224,314,7357.733275879373,1385.0,257.0,111.0,22.0,11,25,full_coverage,0,0
20260928,3,shared,random,spatial,11,11,791.592927880136,8707.522206681497,0.024069600003713276,326,6867.522206681495,1435.0,266.0,117.0,22.0,11,25,full_coverage,11,8
20260929,3,B1,random,spatial,11,11,847.4949283040695,9322.444211344764,0.014007400000991765,306,7539.444211344764,1440.0,267.0,54.0,22.0,11,25,full_coverage,,
20260929,3,route,random,spatial,11,11,749.1881615751037,8241.06977732614,0.016238800002611242,278,6629.06977732614,1295.0,238.0,57.0,22.0,11,25,full_coverage,0,0
20260929,3,shared,random,spatial,11,11,795.5912189081868,8751.503407990054,0.02282759999798145,319,6905.503407990054,1480.0,275.0,69.0,22.0,11,25,full_coverage,10,6
20260930,3,B1,random,spatial,14,14,655.4254590086426,9175.956426120996,0.014089500000409316,263,7648.956426120996,1215.0,224.0,60.0,28.0,14,25,full_coverage,,
20260930,3,route,random,spatial,14,14,595.3188535571895,8334.463949800653,0.020447899994906038,250,6912.463949800651,1105.0,202.0,87.0,28.0,14,25,full_coverage,0,0
20260930,3,shared,random,spatial,14,14,568.4711548904914,7958.596168466881,0.024420800000370946,255,6513.596168466878,1120.0,204.0,93.0,28.0,14,25,full_coverage,11,11
20260931,3,B1,random,spatial,12,12,736.3459869961674,8836.151843954009,0.024849400004313793,323,6975.1518439540105,1480.0,276.0,81.0,24.0,12,25,full_coverage,,
20260931,3,route,random,spatial,12,12,738.116598529113,8857.399182349356,0.022917900001630187,297,7142.399182349356,1365.0,254.0,72.0,24.0,12,25,full_coverage,0,0
20260931,3,shared,random,spatial,12,12,805.960041014789,9671.520492177468,0.02844609999738168,318,7879.520492177466,1390.0,258.0,120.0,24.0,12,25,full_coverage,7,6
20260932,3,B1,random,spatial,13,13,784.2110950855039,10194.74423611155,0.025311200006399304,318,8430.74423611155,1340.0,248.0,150.0,26.0,13,25,full_coverage,,
20260932,3,route,random,spatial,13,13,661.7814707306135,8603.159119497976,0.026758100000733975,275,7046.159119497976,1210.0,222.0,99.0,26.0,13,25,full_coverage,0,0
20260932,3,shared,random,spatial,13,13,640.7324379993157,8329.521693991104,0.0393982000023243,286,6719.521693991104,1245.0,228.0,111.0,26.0,13,25,full_coverage,15,15
20260933,3,B1,random,spatial,10,10,1008.3029933847909,10083.029933847909,0.02105610000580782,328,8240.029933847909,1435.0,265.0,123.0,20.0,10,25,full_coverage,,
20260933,3,route,random,spatial,10,10,846.6583327617784,8466.583327617784,0.023245000003953464,315,6701.583327617784,1370.0,252.0,123.0,20.0,10,25,full_coverage,0,0
20260933,3,shared,random,spatial,10,10,828.6026228821411,8286.02622882141,0.025170799999614246,317,6486.026228821411,1420.0,261.0,99.0,20.0,10,25,full_coverage,16,11
20260934,3,B1,random,spatial,14,14,725.1941761456811,10152.718466039536,0.032840500003658235,280,8643.718466039536,1100.0,201.0,180.0,28.0,14,25,full_coverage,,
20260934,3,route,random,spatial,14,14,639.9224091973587,8958.913728763022,0.03337450000253739,287,7355.913728763022,1220.0,226.0,129.0,28.0,14,25,full_coverage,0,0
20260934,3,shared,random,spatial,14,14,681.3055973596271,9538.278363034779,0.039452800003346056,262,8093.278363034779,1090.0,195.0,132.0,28.0,14,25,full_coverage,16,14
20260935,3,B1,random,spatial,10,10,981.2797891515481,9812.797891515482,0.02186989999609068,342,7826.797891515479,1600.0,300.0,66.0,20.0,10,25,full_coverage,,
20260935,3,route,random,spatial,10,10,846.8925034354492,8468.925034354492,0.018631799997820053,291,6766.925034354492,1385.0,255.0,42.0,20.0,10,25,full_coverage,0,0
20260935,3,shared,random,spatial,10,10,944.1427340745086,9441.427340745086,0.027841800001624506,365,7370.427340745083,1630.0,304.0,117.0,20.0,10,25,full_coverage,11,9
20260936,3,B1,random,spatial,15,15,633.3518940877184,9500.278411315776,0.02460659999633208,222,8255.278411315774,950.0,169.0,96.0,30.0,15,25,full_coverage,,
20260936,3,route,random,spatial,15,15,600.9656764125294,9014.48514618794,0.029736399999819696,229,7748.485146187939,950.0,169.0,117.0,30.0,15,25,full_coverage,0,0
20260936,3,shared,random,spatial,15,15,569.8444259218687,8547.66638882803,0.037641299997630995,241,7210.666388828029,1010.0,180.0,117.0,30.0,15,25,full_coverage,14,12
20260937,3,B1,random,spatial,11,11,798.3888840773776,8782.277724851154,0.020232400005625095,306,7062.277724851153,1335.0,246.0,117.0,22.0,11,25,full_coverage,,
