seed,question,variant,kind,noise,sources,cleared,seconds_per_source,virtual_s,runtime_s,actions,move_s,measure_s,switch_s,optical_s,laser_s,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits
20280910,3,B1,boundary,constant,14,14,630.2232300112917,8823.125220158083,0.02313099999446422,304,7077.125220158083,1375.0,256.0,87.0,28.0,14,25,full_coverage,,
20280910,3,shared,boundary,constant,14,14,587.994279278648,8231.919909901073,0.029294499996467493,302,6475.919909901071,1405.0,260.0,63.0,28.0,14,25,full_coverage,14,13
20280910,3,B1,cluster,smooth,14,14,726.1016667031256,10165.423333843759,0.020852299996477086,205,9012.423333843757,890.0,154.0,81.0,28.0,14,25,full_coverage,,
20280910,3,shared,cluster,smooth,14,14,498.3605307447798,6977.047430426917,0.031029199999466073,200,5839.047430426917,890.0,154.0,66.0,28.0,14,25,full_coverage,12,12
20280910,3,B1,radius_min,spatial,14,14,642.8178875877256,8999.450426228159,0.0166726999959792,314,7179.450426228156,1450.0,270.0,72.0,28.0,14,25,full_coverage,,
20280910,3,shared,radius_min,spatial,14,14,614.7858703583304,8607.002185016625,0.030933900001400616,307,6840.002185016625,1400.0,258.0,81.0,28.0,14,25,full_coverage,17,14
20280910,3,B1,all_directional,constant,14,14,731.9011921443307,10246.61669002063,0.020416100000147708,301,8541.61669002063,1320.0,246.0,111.0,28.0,14,25,full_coverage,,
20280910,3,shared,all_directional,constant,14,14,622.0741049048635,8709.037468668088,0.029203899997810367,277,7129.037468668089,1235.0,227.0,90.0,28.0,14,25,full_coverage,11,11
20280910,3,B1,random,smooth,14,14,727.200191525522,10180.802681357307,0.02132040000287816,292,8502.802681357307,1320.0,246.0,84.0,28.0,14,25,full_coverage,,
20280910,3,shared,random,smooth,14,14,593.1679074015444,8304.350703621622,0.028453799997805618,272,6756.350703621621,1215.0,218.0,87.0,28.0,14,25,full_coverage,15,12
20280911,3,B1,boundary,constant,12,12,802.3351827194609,9628.02219263353,0.014479299999948125,373,7443.022192633532,1765.0,336.0,60.0,24.0,12,25,full_coverage,,
