group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination
main,20260910,3,sweep,random,spatial,1,11,11,1.0,11404.700025111622,1036.790911373784,0.29169240000192076,317,502,491,7998.700025111621,293.0,1585.0,1506.0,22.0,11,25,full_coverage
main,20260910,3,triangulate,random,spatial,1,11,11,1.0,9294.636882980309,844.9669893618462,0.021145500002603512,327,25,14,7255.636882980308,307.0,1635.0,75.0,22.0,11,25,full_coverage
main,20260911,3,sweep,random,spatial,1,10,10,1.0,11313.198718728403,1131.3198718728404,0.27421969999704743,333,516,506,7770.198718728401,310.0,1665.0,1548.0,20.0,10,25,full_coverage
main,20260911,3,triangulate,random,spatial,1,10,10,1.0,9131.87917206976,913.1879172069761,0.021375199998146854,341,26,16,7006.87917206976,322.0,1705.0,78.0,20.0,10,25,full_coverage
main,20260912,3,sweep,random,spatial,1,16,16,1.0,9986.136973119677,624.1335608199798,0.3879400999940117,132,767,751,6871.136973119682,122.0,660.0,2301.0,32.0,16,13,count_upper_bound
main,20260912,3,triangulate,random,spatial,1,16,16,1.0,6473.376719710328,404.5860449818955,0.027402200001233723,148,41,25,5439.376719710328,139.0,740.0,123.0,32.0,16,13,count_upper_bound
main,20260913,3,sweep,random,spatial,1,10,10,1.0,10806.69255451124,1080.6692554511242,0.2430915000004461,291,452,442,7709.692554511243,266.0,1455.0,1356.0,20.0,10,25,full_coverage
main,20260913,3,triangulate,random,spatial,1,10,10,1.0,9031.440773300688,903.1440773300689,0.0198277000017697,294,32,22,7170.4407733006865,275.0,1470.0,96.0,20.0,10,25,full_coverage
main,20260914,3,sweep,random,spatial,1,14,14,1.0,11533.27902271369,823.8056444795493,0.34279789999709465,224,591,577,8412.279022713688,200.0,1120.0,1773.0,28.0,14,25,full_coverage
main,20260914,3,triangulate,random,spatial,1,14,14,1.0,9172.425716278402,655.1732654484573,0.02221089999511605,238,25,11,7659.4257162784,220.0,1190.0,75.0,28.0,14,25,full_coverage
main,20260915,3,sweep,random,spatial,1,13,13,1.0,13148.054823919938,1011.388832609226,0.36766119999811053,211,675,662,9855.054823919942,187.0,1055.0,2025.0,26.0,13,25,full_coverage
main,20260915,3,triangulate,random,spatial,1,13,13,1.0,10682.259461611342,821.7122662777955,0.043157200001587626,224,46,33,9194.259461611342,204.0,1120.0,138.0,26.0,13,25,full_coverage
main,20260916,3,sweep,random,spatial,1,14,14,1.0,13311.189654119038,950.7992610085028,0.4562577999968198,223,811,797,9536.189654119036,199.0,1115.0,2433.0,28.0,14,25,full_coverage
main,20260916,3,triangulate,random,spatial,1,14,14,1.0,9338.340661128701,667.0243329377644,0.037711400000262074,237,42,28,7780.3406611287,219.0,1185.0,126.0,28.0,14,25,full_coverage
main,20260917,3,sweep,random,spatial,1,13,13,1.0,13465.920721175607,1035.8400554750467,0.41669009999895934,214,803,790,9770.920721175607,190.0,1070.0,2409.0,26.0,13,25,full_coverage
main,20260917,3,triangulate,random,spatial,1,13,13,1.0,9906.499181361549,762.038398566273,0.053618700003426056,240,59,46,8283.499181361549,220.0,1200.0,177.0,26.0,13,25,full_coverage
main,20260918,3,sweep,random,spatial,1,15,15,1.0,12536.785876104434,835.7857250736289,0.5290054000070086,177,758,743,9194.785876104434,153.0,885.0,2274.0,30.0,15,25,full_coverage
main,20260918,3,triangulate,random,spatial,1,15,15,1.0,8822.933899937176,588.195593329145,0.016983200002869125,181,25,10,7651.933899937176,161.0,905.0,75.0,30.0,15,25,full_coverage
main,20260919,3,sweep,random,spatial,1,11,11,1.0,11826.623970293902,1075.147633663082,0.3339596999940113,265,599,588,8442.6239702939,240.0,1325.0,1797.0,22.0,11,25,full_coverage
main,20260919,3,triangulate,random,spatial,1,11,11,1.0,8954.234674786636,814.0213340715123,0.03293829999893205,276,33,22,7197.234674786636,256.0,1380.0,99.0,22.0,11,25,full_coverage
main,20260920,3,sweep,random,spatial,1,13,13,1.0,11709.08903475809,900.6991565198531,0.46075289999862434,235,577,564,8567.089034758093,210.0,1175.0,1731.0,26.0,13,25,full_coverage
main,20260920,3,triangulate,random,spatial,1,13,13,1.0,9522.73114429776,732.517780330597,0.02147269999841228,248,30,17,7938.731144297762,228.0,1240.0,90.0,26.0,13,25,full_coverage
main,20260921,3,sweep,random,spatial,1,10,10,1.0,11644.938980539078,1164.4938980539077,0.33901789999799803,285,515,505,8393.938980539078,261.0,1425.0,1545.0,20.0,10,25,full_coverage
main,20260921,3,triangulate,random,spatial,1,10,10,1.0,9468.467269230276,946.8467269230275,0.030253900004026946,295,28,18,7615.4672692302765,274.0,1475.0,84.0,20.0,10,25,full_coverage
