forward_m,lateral_m,guaranteed_omni_reception,move_s,sampled_worst_diameter_m,sample_count
250,100,True,53.85164807134504,631.0276679705207,189
250,250,True,70.71067811865476,361.9654488656593,189
250,450,True,102.95630140987001,240.55942020306864,189
500,100,True,101.9803902718557,494.0456488547624,189
500,250,True,111.80339887498948,277.4643033565112,189
500,450,True,134.5362404707371,185.96986824940205,189
650,100,True,131.52946437965903,414.18623925277666,189
650,250,True,139.2838827718412,230.29609017408526,189
650,450,True,158.11388300841898,156.34955394387785,189
750,100,True,151.32745950421557,362.10898664012666,189
750,250,True,158.11388300841898,200.521096915967,189
750,450,True,174.928556845359,138.06106277112795,189
