group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,assumed_bound_deg
stress,20261910,3,triangulate,boundary,constant,1,15,15,1.0,9654.775160024954,643.651677334997,0.019860300002619624,278,33,18,7872.775160024951,263.0,1390.0,99.0,30.0,15,25,full_coverage,1.005
stress,20261911,3,triangulate,boundary,constant,1,14,14,1.0,9180.595033450483,655.7567881036059,0.016146099995239638,340,20,6,7069.595033450482,323.0,1700.0,60.0,28.0,14,25,full_coverage,1.005
stress,20261912,3,triangulate,boundary,constant,1,12,12,1.0,9093.470193560835,757.7891827967363,0.019323900000017602,330,26,14,7029.470193560833,312.0,1650.0,78.0,24.0,12,25,full_coverage,1.005
stress,20261913,3,triangulate,boundary,constant,1,11,11,1.0,8871.969211195024,806.542655563184,0.020822400001634378,346,28,17,6707.9692111950235,328.0,1730.0,84.0,22.0,11,25,full_coverage,1.005
stress,20261914,3,triangulate,boundary,constant,1,11,11,1.0,9022.385734324886,820.216884938626,0.013723700001719408,342,18,7,6912.385734324886,324.0,1710.0,54.0,22.0,11,25,full_coverage,1.005
stress,20261910,3,triangulate,cluster,smooth,1,15,15,1.0,10233.379003458878,682.2252668972585,0.023635599995031953,155,32,17,9201.379003458878,131.0,775.0,96.0,30.0,15,25,full_coverage,1.005
stress,20261911,3,triangulate,cluster,smooth,1,14,14,1.0,10101.037745612372,721.5026961151694,0.019941199992899783,178,27,13,8948.037745612372,154.0,890.0,81.0,28.0,14,25,full_coverage,1.005
stress,20261912,3,triangulate,cluster,smooth,1,12,12,1.0,9797.916178678664,816.4930148898887,0.025212900000042282,224,25,13,8378.916178678664,200.0,1120.0,75.0,24.0,12,25,full_coverage,1.005
stress,20261913,3,triangulate,cluster,smooth,1,11,11,1.0,9319.027145904281,847.1842859912983,0.01934639999672072,247,21,10,7776.0271459042815,223.0,1235.0,63.0,22.0,11,25,full_coverage,1.005
stress,20261914,3,triangulate,cluster,smooth,1,11,11,1.0,9647.743444123214,877.0675858293831,0.024883300000510644,247,17,6,8116.743444123214,223.0,1235.0,51.0,22.0,11,25,full_coverage,1.005
stress,20261910,3,triangulate,radius_min,spatial,1,15,15,1.0,9576.1068378921,638.40712252614,0.022969099998590536,243,22,7,8040.106837892099,225.0,1215.0,66.0,30.0,15,25,full_coverage,1.005
