run,case_code,sources_cleared,total_virtual_s,seconds_per_source,move_s,measure_s,switch_s,optical_s,laser_s,actions,program_s,stations,q3_policy_sha,q4_policy_sha
q3_20260913_005129_7f78d141,,15,3328.029,221.87,2520.0,620.0,113.0,45.0,30.0,141,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005139_fc79d8bd,,11,3233.402,293.95,2417.4,645.0,116.0,33.0,22.0,142,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005149_eb24cf24,,11,3348.096,304.37,2470.1,695.0,128.0,33.0,22.0,152,1.8,7,d12fa3a5,3de0e9a0
q3_20260913_005159_5d9f6535,,13,3353.904,257.99,2536.9,635.0,117.0,39.0,26.0,142,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005209_c24bba95,,16,3157.456,197.34,2396.5,575.0,106.0,48.0,32.0,133,1.6,6,d12fa3a5,3de0e9a0
q3_20260913_005218_f27e56b5,,11,3244.225,294.93,2374.2,685.0,130.0,33.0,22.0,150,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005227_1d80e5d7,,16,3880.678,242.54,2974.7,700.0,126.0,48.0,32.0,158,2.1,7,d12fa3a5,3de0e9a0
q3_20260913_005237_117f8d61,,14,3474.4,248.17,2633.4,655.0,116.0,42.0,28.0,147,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005246_55371b7e,,16,3577.749,223.61,2764.7,620.0,113.0,48.0,32.0,142,1.7,7,d12fa3a5,3de0e9a0
q3_20260913_005255_1fcfb11f,,16,3692.379,230.77,2809.4,610.0,112.0,129.0,32.0,167,1.9,6,d12fa3a5,3de0e9a0
q3_20260913_005305_79c8f431,,16,3122.194,195.14,2288.2,640.0,114.0,48.0,32.0,146,2.0,7,d12fa3a5,3de0e9a0
q3_20260913_005315_e3d3739e,,15,2979.847,198.66,2202.8,595.0,107.0,45.0,30.0,136,1.6,7,d12fa3a5,3de0e9a0
q3_20260913_005324_e98a594d,,16,3469.735,216.86,2552.7,635.0,115.0,135.0,32.0,174,1.9,6,d12fa3a5,3de0e9a0
q3_20260913_005333_ff2961f9,,11,3014.512,274.05,2169.5,665.0,125.0,33.0,22.0,146,1.4,7,d12fa3a5,3de0e9a0
q3_20260913_005342_7641a5fd,,16,3652.453,228.28,2716.5,720.0,136.0,48.0,32.0,162,2.2,7,d12fa3a5,3de0e9a0
q3_20260913_005351_e19c4ee2,,13,3639.445,279.96,2722.4,720.0,132.0,39.0,26.0,159,1.9,7,d12fa3a5,3de0e9a0
q3_20260913_005400_1f2c31d2,,14,3267.291,233.38,2514.3,575.0,108.0,42.0,28.0,131,1.4,7,d12fa3a5,3de0e9a0
q3_20260913_005409_5dbb8025,,15,3113.392,207.56,2324.4,600.0,114.0,45.0,30.0,137,1.8,7,d12fa3a5,3de0e9a0
