run,case_code,sources_cleared,total_virtual_s,seconds_per_source,move_s,measure_s,switch_s,optical_s,laser_s,actions,program_s,stations,q3_policy_sha,q4_policy_sha
q4_20260912_214949_50c650a4,,14,5596.186,399.73,4271.2,1055.0,194.0,48.0,28.0,229,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215001_2470b992,,13,6179.313,475.33,4434.3,1385.0,259.0,75.0,26.0,304,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215028_0be6cdb1,,14,5848.488,417.75,4478.5,1075.0,201.0,66.0,28.0,239,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215047_0e7c6c8e,,11,6119.025,556.27,4327.0,1420.0,269.0,81.0,22.0,313,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215256_d6e94649,,15,6731.835,448.79,5137.8,1230.0,229.0,105.0,30.0,283,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215310_f94e9fd9,,14,6765.994,483.29,5160.0,1265.0,238.0,75.0,28.0,280,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215323_829083c9,,10,5985.489,598.55,4144.5,1505.0,277.0,39.0,20.0,316,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215342_154b13cf,,10,6296.268,629.63,4561.3,1420.0,265.0,30.0,20.0,296,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_215357_28de5c10,,12,6178.416,514.87,4673.4,1220.0,222.0,39.0,24.0,259,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_215414_d4a9e8bc,,15,6669.45,444.63,5248.5,1065.0,194.0,132.0,30.0,259,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215428_f897e3df,,13,6710.065,516.16,4902.1,1460.0,271.0,51.0,26.0,311,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215441_f00bc638,,11,6002.802,545.71,4413.8,1295.0,239.0,33.0,22.0,272,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215503_ed0bb90a,,16,5499.878,343.74,4097.9,1055.0,195.0,120.0,32.0,253,0.9,19,d12fa3a5,3de0e9a0
q4_20260912_215518_00e1fd54,,12,6496.733,541.39,4760.7,1405.0,262.0,45.0,24.0,298,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_215538_15b71a30,,14,6208.869,443.49,4682.9,1225.0,225.0,48.0,28.0,263,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215612_2842d45d,,11,6077.176,552.47,4431.2,1340.0,248.0,36.0,22.0,282,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_215627_b4a1b50b,,16,6481.676,405.1,5088.7,1095.0,200.0,66.0,32.0,243,0.9,21,d12fa3a5,3de0e9a0
q4_20260912_215647_a202de04,,15,6989.14,465.94,5343.1,1310.0,243.0,63.0,30.0,285,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_215717_4593079a,,12,6823.197,568.6,5085.2,1405.0,264.0,45.0,24.0,298,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_215731_cf1166c2,,14,6913.657,493.83,5338.7,1235.0,231.0,81.0,28.0,276,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_224225_78e35b18,,14,6692.928,478.07,5288.9,1110.0,203.0,63.0,28.0,245,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230119_ad0d4f30,,15,6492.435,432.83,4919.4,1205.0,224.0,114.0,30.0,281,1.1,22,d12fa3a5,3de0e9a0
q4_20260912_230131_08197938,,15,5961.387,397.43,4640.4,1010.0,185.0,96.0,30.0,236,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230146_96f3b496,,10,6817.253,681.73,4904.3,1565.0,289.0,39.0,20.0,328,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230218_9b004c41,,13,6370.577,490.04,4706.6,1350.0,249.0,39.0,26.0,285,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_230236_59c59108,,11,6166.756,560.61,4468.8,1380.0,257.0,39.0,22.0,291,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_230248_83a6347e,,12,5909.167,492.43,4316.2,1255.0,233.0,81.0,24.0,280,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_230301_cfdcdaa8,,11,6262.013,569.27,4678.0,1290.0,239.0,33.0,22.0,271,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_230314_6f3c81ec,,11,6406.085,582.37,4781.1,1320.0,244.0,39.0,22.0,279,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_230326_77e0096c,,13,6715.943,516.61,5067.9,1315.0,244.0,63.0,26.0,286,1.0,22,d12fa3a5,3de0e9a0
q4_20260912_230339_18101e9b,,10,6369.803,636.98,4438.8,1580.0,298.0,33.0,20.0,329,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230351_7b5bcbd9,,15,6347.717,423.18,4896.7,1155.0,212.0,54.0,30.0,251,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230404_3fab84e3,,11,6783.407,616.67,4900.4,1530.0,289.0,42.0,22.0,322,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230417_82f93b13,,15,5963.554,397.57,4612.6,1070.0,194.0,57.0,30.0,235,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230430_451d4640,,12,6192.015,516.0,4444.0,1415.0,264.0,45.0,24.0,300,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230442_915f290c,,15,6200.116,413.34,4783.1,1105.0,204.0,78.0,30.0,249,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230457_6203f199,,14,6362.446,454.46,4832.4,1230.0,227.0,45.0,28.0,263,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230511_1c4f5fbe,,10,6538.626,653.86,4776.6,1410.0,263.0,69.0,20.0,307,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230529_c0861c88,,13,5364.879,412.68,3917.9,1165.0,214.0,42.0,26.0,249,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230559_d9218418,,11,6525.805,593.25,4874.8,1340.0,247.0,42.0,22.0,284,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230617_f5686837,,13,6085.714,468.13,4342.7,1385.0,263.0,69.0,26.0,302,0.8,22,d12fa3a5,3de0e9a0
