forward_m,lateral_m,guaranteed_omni_reception,sampled_reception_fraction,movement_m,movement_s,sample_count,sampled_mean_area_m2,sampled_max_area_m2,sampled_mean_diameter_m,sampled_max_diameter_m,sampled_mean_mec_radius_m,sampled_max_mec_radius_m,sampled_min_acute_crossing_deg
250,100,True,1.0,269.2582403567252,53.85164807134504,189,4296.677442996998,13539.994899360894,249.01973291720557,631.0276679705207,124.5114548062397,315.51383398526036,4.3794408515419905
250,250,True,1.0,353.5533905932738,70.71067811865476,189,2311.922473355378,8066.693943969976,129.66958415339354,361.9654488656593,64.83520570630736,180.98272443282977,11.152658571194637
250,450,True,1.0,514.78150704935,102.95630140987001,189,1645.6779225326577,5646.968228484375,89.25085306976237,240.55942020306864,44.62557473321412,120.27971010153432,19.732429200842155
500,100,True,1.0,509.9019513592785,101.9803902718557,189,2502.0236505147773,9318.151567341993,175.29137521903516,494.0456488547624,87.64646652273777,247.0228244273812,5.220506758167803
500,250,True,1.0,559.0169943749474,111.80339887498948,189,1394.6108143379106,5525.041559193862,92.58905056705213,277.4643033565112,46.29469976140542,138.73215167825572,13.616767636309392
500,450,True,1.0,672.6812023536855,134.5362404707371,189,1091.2486246505368,4006.954501894128,67.4421693450678,185.96986824940205,33.721197758110634,92.98493412470103,23.971662458452577
650,100,True,1.0,657.6473218982952,131.52946437965903,189,1746.2260981991317,7038.087882748234,148.64614915128294,414.18623925277666,74.32348982763033,207.09311962638844,5.961191487581711
650,250,True,1.0,696.419413859206,139.2838827718412,189,1011.7681824326529,4201.002814273448,79.31038829844387,230.29609017408526,39.65532449181066,115.14804508704263,15.752789115267857
650,450,True,1.0,790.5694150420949,158.11388300841898,189,861.562499541911,3150.9752409433167,59.805103232936446,156.34955394387785,29.90261543309265,78.17477697193893,27.50560428705034
750,100,True,1.0,756.6372975210778,151.32745950421557,189,1392.3604855536105,5654.083613631321,139.63797221325927,362.10898664012666,69.81932643447728,181.05449332006344,6.618244933131954
750,250,True,1.0,790.5694150420949,158.11388300841898,189,830.5659246275467,3424.012151268098,74.53073518506902,200.521096915967,37.265565144501686,100.2605484579835,17.541349461685055
750,450,True,1.0,874.642784226795,174.928556845359,189,752.8973688771578,2651.4882716841494,57.071120953947066,138.06106277112795,28.535679344855733,69.03053138556407,30.126439318500974
