seed,question,kind,noise,variant,sources,cleared,seconds_per_source,virtual_s,runtime_s,actions,measurements,clear_attempts,move_m,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits,group
20270910,4,random,spatial,grid49,15,15,898.3458038180506,13475.18705727076,0.3332688999998936,597,437,160,51930.93528635382,10386.187057270765,394.0,2185.0,480.0,30.0,15,49,full_coverage,11,5,holdout
20270910,4,random,spatial,triangle27,15,15,687.7464306779751,10316.196460169627,0.19992820000015854,349,258,91,42425.98230084812,8485.196460169624,238.0,1290.0,273.0,30.0,15,27,full_coverage,14,13,holdout
20270911,4,random,spatial,grid49,10,10,1245.713228865758,12457.132288657582,0.3645366999999169,699,625,74,42540.6614432879,8508.13228865758,582.0,3125.0,222.0,20.0,10,49,full_coverage,3,3,holdout
20270911,4,random,spatial,triangle27,10,10,931.7190993027789,9317.190993027789,0.42967769999995653,398,343,55,35490.954965138946,7098.190993027789,319.0,1715.0,165.0,20.0,10,27,full_coverage,8,7,holdout
20270912,4,random,spatial,grid49,13,13,1035.7145121688632,13464.28865819522,0.650772599999982,620,495,125,50671.44329097609,10134.288658195217,454.0,2475.0,375.0,26.0,13,49,full_coverage,6,6,holdout
20270912,4,random,spatial,triangle27,13,13,741.4468430934064,9638.808960214283,0.34765769999967233,401,325,76,37274.04480107142,7454.808960214284,305.0,1625.0,228.0,26.0,13,27,full_coverage,7,7,holdout
20270913,4,random,spatial,grid49,10,10,1160.7385249081601,11607.3852490816,0.27434790000006615,567,543,24,41511.926245408,8302.3852490816,498.0,2715.0,72.0,20.0,10,49,full_coverage,11,9,holdout
20270913,4,random,spatial,triangle27,10,10,879.9744536290734,8799.744536290735,0.3257315999999264,340,304,36,34363.72268145367,6872.744536290734,279.0,1520.0,108.0,20.0,10,27,full_coverage,9,9,holdout
20270914,4,random,spatial,grid49,13,13,1035.2104807818935,13457.736250164615,0.841201799999908,741,476,265,49133.6812508231,9826.73625016462,430.0,2380.0,795.0,26.0,13,49,full_coverage,13,9,holdout
20270914,4,random,spatial,triangle27,13,13,722.4268197359057,9391.548656566774,0.4868683999998211,395,311,84,36342.74328283388,7268.548656566776,290.0,1555.0,252.0,26.0,13,27,full_coverage,10,8,holdout
20270915,4,random,spatial,grid49,15,15,871.1475497370702,13067.213246056053,0.6252589000000626,699,523,176,47071.066230280274,9414.213246056055,480.0,2615.0,528.0,30.0,15,49,full_coverage,8,8,holdout
20270915,4,random,spatial,triangle27,15,15,751.5355743627223,11273.033615440834,0.4571248000002015,468,352,116,44010.16807720417,8802.033615440834,333.0,1760.0,348.0,30.0,15,27,full_coverage,9,6,holdout
20270916,4,random,spatial,grid49,11,11,1158.7015493547954,12745.71704290275,0.32746510000015405,723,629,94,43563.58521451375,8712.71704290275,584.0,3145.0,282.0,22.0,11,49,full_coverage,5,2,holdout
20270916,4,random,spatial,triangle27,11,11,918.327971532286,10101.607686855146,0.4708709000001363,464,344,120,38398.03843427574,7679.607686855148,320.0,1720.0,360.0,22.0,11,27,full_coverage,14,8,holdout
20270917,4,random,spatial,grid49,11,11,1169.8403049283936,12868.24335421233,0.2336264000000483,686,644,42,44491.21677106167,8898.243354212334,602.0,3220.0,126.0,22.0,11,49,full_coverage,3,3,holdout
20270917,4,random,spatial,triangle27,11,11,910.2566336362058,10012.822969998264,0.4315839999999298,426,317,109,38914.114849991325,7782.822969998265,296.0,1585.0,327.0,22.0,11,27,full_coverage,4,4,holdout
20270918,4,random,spatial,grid49,10,10,1198.3430801752907,11983.430801752907,0.347846600000139,690,587,103,40887.154008764526,8177.430801752906,542.0,2935.0,309.0,20.0,10,49,full_coverage,8,5,holdout
