seed,question,kind,noise,amplitude,variant,sources,cleared,average_s,virtual_s,runtime_s,measurements,clear_attempts,failed_clears,move_m,actions,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits,group
2031091100,3,random,spatial,1,baseline,10,10,440.39623806366,4403.9623806366,0.05759779999971215,107,15,5,18509.811903183007,122,3701.962380636601,102.0,535.0,45.0,20.0,10,7,full_coverage,9,6,validation
2031091100,3,random,spatial,1,candidate,10,10,296.11121978837866,2961.1121978837864,0.20565890000034415,112,29,19,10935.560989418933,141,2187.1121978837864,107.0,560.0,87.0,20.0,10,7,full_coverage,10,8,validation
2031091101,3,random,spatial,1,baseline,10,10,417.7396574200038,4177.396574200038,0.05058530000042083,119,32,22,16751.98287100019,151,3350.3965742000382,116.0,595.0,96.0,20.0,10,7,full_coverage,7,7,validation
2031091101,3,random,spatial,1,candidate,10,10,305.2231371091715,3052.2313710917147,0.2642206000000442,127,51,41,10616.156855458577,178,2123.2313710917156,121.0,635.0,153.0,20.0,10,7,full_coverage,9,8,validation
2031091102,3,random,spatial,1,baseline,16,16,301.6218092987301,4825.948948779682,0.11311839999962103,86,51,35,20644.744743898405,137,4128.948948779681,82.0,430.0,153.0,32.0,16,7,count_upper_bound,23,21,validation
2031091102,3,random,spatial,1,candidate,16,16,209.7877744835049,3356.6043917360785,0.4268560999998954,115,47,31,12503.021958680392,162,2500.6043917360785,108.0,575.0,141.0,32.0,16,7,count_upper_bound,19,18,validation
2031091103,3,random,spatial,1,baseline,15,15,309.7026086444819,4645.539129667229,0.07119679999959772,117,33,18,19102.695648336143,150,3820.5391296672287,111.0,585.0,99.0,30.0,15,7,full_coverage,11,8,validation
2031091103,3,random,spatial,1,candidate,15,15,245.07262937919592,3676.089440687939,0.31366720000005444,123,64,49,13625.447203439691,187,2725.0894406879383,114.0,615.0,192.0,30.0,15,7,full_coverage,16,15,validation
2031091104,3,random,spatial,1,baseline,12,12,375.87642988704755,4510.51715864457,0.06732830000055401,113,46,34,18367.585793222854,159,3673.517158644571,110.0,565.0,138.0,24.0,12,7,full_coverage,5,5,validation
2031091104,3,random,spatial,1,candidate,12,12,295.20529002957915,3542.4634803549498,0.26339160000043194,120,83,71,12772.317401774748,203,2554.4634803549498,115.0,600.0,249.0,24.0,12,7,full_coverage,11,11,validation
2031091105,3,random,spatial,1,baseline,13,13,323.4768924902553,4205.199602373319,0.08335889999943902,95,44,31,17395.9980118666,139,3479.19960237332,93.0,475.0,132.0,26.0,13,7,full_coverage,18,14,validation
2031091105,3,random,spatial,1,candidate,13,13,258.29853854170625,3357.881001042181,0.3613742999996248,121,43,30,12424.405005210905,164,2484.881001042181,113.0,605.0,129.0,26.0,13,7,full_coverage,20,13,validation
2031091106,3,random,spatial,1,baseline,11,11,370.99725575745276,4080.9698133319803,0.05692749999980151,103,28,17,16814.8490666599,131,3362.96981333198,97.0,515.0,84.0,22.0,11,7,full_coverage,14,12,validation
2031091106,3,random,spatial,1,candidate,11,11,279.40708401357006,3073.4779241492706,0.24371719999999186,115,32,21,11357.389620746351,147,2271.47792414927,109.0,575.0,96.0,22.0,11,7,full_coverage,14,13,validation
2031091107,3,random,spatial,1,baseline,12,12,339.4514439274632,4073.417327129558,0.07594219999919005,104,57,45,16297.08663564779,161,3259.417327129558,99.0,520.0,171.0,24.0,12,7,full_coverage,14,13,validation
2031091107,3,random,spatial,1,candidate,12,12,320.3312398906245,3843.974878687494,0.26071499999943626,116,62,50,14719.874393437472,178,2943.9748786874943,110.0,580.0,186.0,24.0,12,7,full_coverage,14,13,validation
2031091108,3,random,spatial,1,baseline,15,15,355.9926599362036,5339.889899043054,0.08175269999992452,88,65,50,22954.449495215267,153,4590.889899043053,84.0,440.0,195.0,30.0,15,7,full_coverage,18,13,validation
2031091108,3,random,spatial,1,candidate,15,15,284.5649393804959,4268.474090707438,0.36880010000004404,108,99,84,16492.37045353719,207,3298.4740907074383,103.0,540.0,297.0,30.0,15,7,full_coverage,19,16,validation
2031091109,3,random,spatial,1,baseline,14,14,312.4465268806645,4374.251376329304,0.06954949999999371,93,37,23,18401.256881646517,130,3680.251376329303,90.0,465.0,111.0,28.0,14,7,full_coverage,13,13,validation
2031091109,3,random,spatial,1,candidate,14,14,253.98286068389226,3555.7600495744914,0.3735453999997844,119,70,56,13053.800247872452,189,2610.7600495744905,112.0,595.0,210.0,28.0,14,7,full_coverage,16,12,validation
2031091110,3,random,spatial,1,baseline,11,11,349.8344600540569,3848.1790605946258,0.06643840000015189,99,29,18,15740.895302973127,128,3148.1790605946253,96.0,495.0,87.0,22.0,11,7,full_coverage,10,10,validation
2031091110,3,random,spatial,1,candidate,11,11,273.6761976050098,3010.438173655108,0.2758010999996259,117,50,39,10712.190868275537,167,2142.438173655107,111.0,585.0,150.0,22.0,11,7,full_coverage,11,11,validation
2031091111,3,random,spatial,1,baseline,12,12,363.34137354610084,4360.09648255321,0.07467930000075285,96,25,13,18445.48241276605,121,3689.09648255321,92.0,480.0,75.0,24.0,12,7,full_coverage,8,8,validation
2031091111,3,random,spatial,1,candidate,12,12,304.74439907748865,3656.932788929864,0.3946206999999049,120,49,37,13849.663944649321,169,2769.9327889298643,116.0,600.0,147.0,24.0,12,7,full_coverage,15,13,validation
2031091112,3,random,spatial,1,baseline,14,14,343.66043472594464,4811.246086163225,0.08992690000013681,103,47,33,20141.230430816126,150,4028.246086163225,99.0,515.0,141.0,28.0,14,7,full_coverage,17,13,validation
2031091112,3,random,spatial,1,candidate,14,14,229.06581110912072,3206.92135552769,0.4322425000000294,125,41,27,11564.606777638452,166,2312.92135552769,118.0,625.0,123.0,28.0,14,7,full_coverage,22,19,validation
2031091113,3,random,spatial,1,baseline,13,13,337.71569845448346,4390.304079908285,0.07008129999940138,101,29,16,18366.520399541427,130,3673.304079908285,99.0,505.0,87.0,26.0,13,7,full_coverage,12,12,validation
2031091113,3,random,spatial,1,candidate,13,13,266.9175361757856,3469.9279702852123,0.28392340000027616,110,52,39,13164.639851426065,162,2632.927970285213,105.0,550.0,156.0,26.0,13,7,full_coverage,15,13,validation
